,SPECIESCODE,MRRI_CODE,SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,GENUS,SPECIES,SciName
2,5706010201,N333,LOLLIGUNCULA BREVIS,ATLANTIC BRIEF SQUID,L.,brevis,L. brevis
3,6177010102,D004,FARFANTEPENAEUS DUORARUM,PINK SHRIMP,F.,duorarum,F. duorarum
4,6177010201,D009,RIMAPENAEUS CONSTRICTUS,ROUGHNECK SHRIMP,R.,constrictus,R. constrictus
5,6186020201,D116,HEPATUS EPHELITICUS,SHAMEFACED CRAB,H.,epheliticus,H. epheliticus
6,6187010901,D202,LIBINIA DUBIA,LONGNOSE SPIDER CRAB,L.,dubia,L. dubia
7,6188030108,D134,CANCER IRRORATUS,ATLANTIC ROCK CRAB,C.,irroratus,C. irroratus
8,6189010301,D130,CALLINECTES SAPIDUS,BLUE CRAB,C.,sapidus,C. sapidus
9,6189010302,D247,CALLINECTES SIMILIS,LESSER BLUE CRAB,C.,similis,C. similis
10,6189010502,D121,OVALIPES OCELLATUS,LADY CRAB,O.,ocellatus,O. ocellatus
11,6189010503,D120,OVALIPES STEPHENSONI,COARSEHAND LADY CRAB,O.,stephensoni,O. stephensoni
12,6189010601,D124,PORTUNUS GIBBESII,IRIDESCENT SWIMMING CRAB,P.,gibbesii,P. gibbesii
13,6189010604,D128,PORTUNUS SPINIMANUS,BLOTCHED SWIMMING CRAB,P.,spinimanus,P. spinimanus
14,6189024201,D148,DYSPANOPEUS SAYI,SAY MUD CRAB,D.,sayi,D. sayi
15,6191010101,E001,SQUILLA EMPUSA,MANTIS SHRIMP,S.,empusa,S. empusa
16,8713050103,A048,DASYATIS AMERICANA,SOUTHERN STINGRAY,D.,americana,D. americana
17,8713070301,A059,RHINOPTERA BONASUS,COWNOSE RAY,R.,bonasus,R. bonasus
18,8747010701,A088,OPISTHONEMA OGLINUM,ATLANTIC THREAD HERRING,O.,oglinum,O. oglinum
19,8747020202,A092,ANCHOA MITCHILLI,BAY ANCHOVY,A.,mitchilli,A. mitchilli
